timestamp,pitch,yaw,roll,accel_x,accel_y,accel_z
4964846,-5.9,-84.2,0.2,-1.04,0.57,0.18
4964896,-5.9,-84.2,0.2,-0.86,0.56,0.11
4964946,-6.2,-87.3,0.1,-0.70,0.33,0.00
4964996,-6.2,-87.3,0.1,-0.82,0.07,0.00
4965046,-6.5,-90.0,0.1,-0.50,0.41,0.00
4965096,-6.5,-90.0,0.1,-0.36,0.28,-0.18
4965146,-6.7,-92.0,-0.1,-0.50,0.91,-0.18
4965196,-6.7,-92.0,-0.1,-0.27,1.24,-0.45
4965246,-6.5,-92.2,-0.1,-0.58,1.67,-0.26
4965297,-6.5,-92.2,-0.1,-0.51,1.21,0.14
4965347,-8.1,-89.6,-2.1,-0.21,-0.09,-0.04
4965397,-8.1,-89.6,-2.1,-0.02,0.27,-0.26
4965447,-7.7,-87.3,-2.3,0.45,0.96,0.77
4965497,-7.7,-87.3,-2.3,1.61,-1.82,1.66
4965547,-7.6,-85.4,-2.2,0.36,0.88,-1.14
4965597,-7.6,-85.4,-2.2,-0.43,1.88,0.37
4965647,-6.2,-81.2,-2.4,0.01,0.44,0.55
4965697,-6.2,-81.2,-2.4,0.64,0.41,-0.26
4965747,-5.0,-75.8,-1.5,0.94,0.16,-0.16
4965798,-5.0,-75.8,-1.5,1.00,0.10,-0.09
4965848,-4.2,-70.5,-0.6,1.34,0.11,0.78
4965898,-4.2,-70.5,-0.6,1.62,0.21,-0.33
4965948,-3.2,-66.1,1.6,1.65,-0.43,0.40
4965999,-3.2,-66.1,1.6,1.11,0.34,-0.09
4966049,-3.5,-64.4,2.5,1.11,-1.04,0.46
4966099,-3.8,-61.6,4.5,0.71,-0.72,-0.14
4966149,-3.8,-61.6,4.5,0.75,-1.36,0.71
4966199,-3.8,-59.8,5.5,0.29,-0.86,0.48
4966249,-3.8,-59.8,5.5,0.68,-1.55,0.45
4966299,-2.7,-58.9,6.1,0.61,-1.16,0.61
4966349,-2.7,-58.9,6.1,0.77,-1.12,0.78
4966400,-2.4,-59.6,6.2,0.94,-0.70,0.24
4966450,-2.4,-59.6,6.2,1.43,-0.59,0.08
4966500,-1.7,-60.0,6.4,1.32,-0.66,0.54
4966550,-1.9,-61.3,7.2,0.91,-1.80,-0.06
4966600,-1.9,-61.3,7.2,0.21,-1.18,-0.18
4966650,-2.0,-62.1,8.1,-0.17,-2.20,0.03
4966700,-2.5,-64.6,9.7,-0.50,-1.23,-0.02
4966750,-2.5,-64.6,9.7,-1.45,-0.87,-0.93
4966800,-3.5,-66.7,8.6,-1.57,-1.53,-0.64
4966850,-4.3,-68.0,7.6,-2.09,-0.71,0.28
4966900,-4.3,-68.0,7.6,-1.98,-0.33,0.14
4966950,-4.3,-70.9,6.0,-1.93,-0.56,-0.02
4967000,-4.3,-70.9,6.0,-2.38,0.54,-0.07
4967050,-4.0,-74.0,5.2,-2.45,-0.06,-0.34
4967100,-4.0,-74.0,5.2,-2.05,-0.66,-0.08
4967150,-3.4,-77.7,5.1,-1.75,0.34,0.00
4967200,-3.4,-77.7,5.1,-1.44,0.30,0.50
4967250,-3.3,-80.8,4.5,-1.43,0.53,-0.62
4967300,-3.3,-80.8,4.5,-1.45,2.24,-0.16
4967350,-2.1,-81.6,5.2,-1.19,1.22,0.23
4967400,-2.1,-81.6,5.2,-1.76,2.48,0.07
4967450,-1.9,-80.3,4.8,-1.05,1.39,0.03
4967500,-1.9,-80.3,4.8,-1.21,2.25,-0.38
4967550,-2.7,-76.9,5.7,-0.91,2.40,-0.95
4967600,-2.7,-76.9,5.7,-0.62,0.69,-1.27
4967650,-3.0,-71.3,5.8,-0.21,-0.42,-1.07
4967700,-3.0,-71.3,5.8,0.92,-1.46,0.27
4967750,-2.3,-67.2,4.5,1.51,-0.32,0.76
4967800,-1.8,-65.7,3.4,2.40,-0.29,0.10
4967850,-1.8,-65.7,3.4,2.29,-1.21,0.28
4967900,-0.1,-64.4,2.7,2.06,-0.95,1.47
4967950,-0.1,-64.4,2.7,1.93,-0.35,0.89
4968000,-0.2,-64.1,2.9,1.14,0.49,1.36
4968050,-0.2,-64.1,2.9,0.64,-0.11,0.85
4968100,-1.1,-64.1,2.8,0.38,-0.61,1.45
